cmTop,cmBot,ageTop,ageBot ,charVol,charCount
128.25,128.5,4070.43,4075.35,3,4
128.5,128.75,4075.35,4080.28,3,2
128.75,129,4080.28,4085.23,3,2
129,129.25,4085.23,4090.19,3,3
129.25,129.5,4090.19,4095.17,3,2
129.5,129.75,4095.17,4100.16,3,7
129.75,130,4100.16,4105.17,3,9
130,130.25,4105.17,4110.19,3,13
130.25,130.5,4110.19,4115.23,3,5
130.5,130.75,4115.23,4120.28,3,7
130.75,131,4120.28,4125.35,3,7
131,131.25,4125.35,4130.44,3,1
131.25,131.5,4130.44,4135.54,3,1
131.5,131.75,4135.54,4140.66,3,2
131.75,132,4140.66,4145.8,3,0
132,132.25,4145.8,4150.95,3,0
132.25,132.5,4150.95,4156.13,3,0
132.5,132.75,4156.13,4161.32,3,1
132.75,133,4161.32,4166.53,3,1
133,133.25,4166.53,4171.76,3,2
133.25,133.5,4171.76,4177.01,3,2
133.5,133.75,4177.01,4182.28,3,1
133.75,134,4182.28,4187.58,3,2
134,134.25,4187.58,4192.89,3,3
134.25,134.5,4192.89,4198.22,3,3
134.5,134.75,4198.22,4203.57,3,1
134.75,135,4203.57,4208.95,3,2
135,135.25,4208.95,4214.34,3,7
135.25,135.5,4214.34,4219.76,3,5
135.5,135.75,4219.76,4225.2,3,5
135.75,136,4225.2,4230.67,3,4
136,136.25,4230.67,4236.15,3,8
136.25,136.5,4236.15,4241.66,3,3
136.5,136.75,4241.66,4247.2,3,3
136.75,137,4247.2,4252.76,3,1
137,137.25,4252.76,4258.34,3,2
137.25,137.5,4258.34,4263.95,3,1
137.5,137.75,4263.95,4269.58,3,3
137.75,138,4269.58,4275.23,3,1
138,138.25,4275.23,4280.92,3,2
138.25,138.5,4280.92,4286.63,3,0
138.5,138.75,4286.63,4292.36,3,2
138.75,139,4292.36,4298.12,3,1
139,139.25,4298.12,4303.9,3,6
139.25,139.5,4303.9,4309.71,3,1
139.5,139.75,4309.71,4315.55,3,3
139.75,140,4315.55,4321.4,3,5
140,140.25,4321.4,4327.29,3,1
140.25,140.5,4327.29,4333.19,3,2
140.5,140.75,4333.19,4339.13,3,5
140.75,141,4339.13,4345.08,3,0
141,141.25,4345.08,4351.06,3,0
141.25,141.5,4351.06,4357.07,3,3
141.5,141.75,4357.07,4363.1,3,5
141.75,142,4363.1,4369.15,3,5
142,142.25,4369.15,4375.23,3,12
142.25,142.5,4375.23,4381.33,3,2
142.5,142.75,4381.33,4387.45,3,1
142.75,143,4387.45,4393.6,3,2
143,143.25,4393.6,4399.77,3,2
143.25,143.5,4399.77,4405.97,3,6
143.5,143.75,4405.97,4412.19,3,5
143.75,144,4412.19,4418.43,3,1
144,144.25,4418.43,4424.69,3,5
144.25,144.5,4424.69,4430.98,3,1
144.5,144.75,4430.98,4437.29,3,0
144.75,145,4437.29,4443.62,3,0
145,145.25,4443.62,4449.98,3,0
145.25,145.5,4449.98,4456.36,3,1
145.5,145.75,4456.36,4462.76,3,2
145.75,146,4462.76,4469.18,3,1
146,146.25,4469.18,4475.62,3,0
146.25,146.5,4475.62,4482.09,3,0
146.5,146.75,4482.09,4488.58,3,0
146.75,147,4488.58,4495.09,3,2
147,147.25,4495.09,4501.63,3,0
147.25,147.5,4501.63,4508.18,3,1
147.5,147.75,4508.18,4514.76,3,4
147.75,148,4514.76,4521.36,3,5
148,148.25,4521.36,4527.98,3,2
148.25,148.5,4527.98,4534.62,3,3
148.5,148.75,4534.62,4541.28,3,4
148.75,149,4541.28,4547.97,3,2
149,149.25,4547.97,4554.67,3,5
149.25,149.5,4554.67,4561.4,3,1
149.5,149.75,4561.4,4568.14,3,4
149.75,150,4568.14,4574.91,3,2
150,150.25,4574.91,4581.7,3,8
150.25,150.5,4581.7,4588.51,3,7
150.5,150.75,4588.51,4595.34,3,6
150.75,151,4595.34,4602.19,3,4
151,151.25,4602.19,4609.06,3,11
151.25,151.5,4609.06,4615.95,3,5
151.5,151.75,4615.95,4622.86,3,1
151.75,152,4622.86,4629.79,3,2
152,152.25,4629.79,4636.74,3,3
152.25,152.5,4636.74,4643.71,3,0
152.5,152.75,4643.71,4650.7,3,2
152.75,153,4650.7,4657.71,3,1
153,153.25,4657.71,4664.74,3,1
153.25,153.5,4664.74,4671.79,3,1
153.5,153.75,4671.79,4678.85,3,3
153.75,154,4678.85,4685.94,3,2
154,154.25,4685.94,4693.05,3,1
154.25,154.5,4693.05,4700.17,3,1
154.5,154.75,4700.17,4707.32,3,0
154.75,155,4707.32,4714.48,3,1
155,155.25,4714.48,4721.66,3,0
155.25,155.5,4721.66,4728.86,3,0
155.5,155.75,4728.86,4736.08,3,1
155.75,156,4736.08,4743.32,3,0
156,156.25,4743.32,4750.57,3,0
156.25,156.5,4750.57,4757.84,3,1
156.5,156.75,4757.84,4765.14,3,0
156.75,157,4765.14,4772.45,3,0
157,157.25,4772.45,4779.77,3,0
157.25,157.5,4779.77,4787.12,3,0
157.5,157.75,4787.12,4794.48,3,0
157.75,158,4794.48,4801.86,3,0
158,158.25,4801.86,4809.26,3,0
158.25,158.5,4809.26,4816.68,3,3
158.5,158.75,4816.68,4824.11,3,1
158.75,159,4824.11,4831.56,3,1
159,159.25,4831.56,4839.03,3,2
159.25,159.5,4839.03,4846.51,3,0
159.5,159.75,4846.51,4854.01,3,0
159.75,160,4854.01,4861.53,3,0
160,160.25,4861.53,4869.06,3,0
160.25,160.5,4869.06,4876.62,3,0
160.5,160.75,4876.62,4884.18,3,0
160.75,161,4884.18,4891.77,3,0
161,161.25,4891.77,4899.37,3,0
161.25,161.5,4899.37,4906.98,3,0
161.5,161.75,4906.98,4914.62,3,0
161.75,162,4914.62,4922.27,3,0
162,162.25,4922.27,4929.93,3,0
162.25,162.5,4929.93,4937.61,3,0
162.5,162.75,4937.61,4945.31,3,0
162.75,163,4945.31,4953.02,3,0
163,163.25,4953.02,4960.75,3,1
163.25,163.5,4960.75,4968.49,3,0
163.5,163.75,4968.49,4976.25,3,0
163.75,164,4976.25,4984.02,3,0
164,164.25,4984.02,4991.81,3,0
164.25,164.5,4991.81,4999.62,3,1
164.5,164.75,4999.62,5007.43,3,1
164.75,165,5007.43,5015.27,3,0
165,165.25,5015.27,5023.12,3,0
165.25,165.5,5023.12,5030.98,3,0
165.5,165.75,5030.98,5038.86,3,0
165.75,166,5038.86,5046.75,3,0
166,166.25,5046.75,5054.65,3,2
166.25,166.5,5054.65,5062.57,3,0
166.5,166.75,5062.57,5070.51,3,0
166.75,167,5070.51,5078.46,3,2
167,167.25,5078.46,5086.42,3,0
167.25,167.5,5086.42,5094.4,3,1
167.5,167.75,5094.4,5102.39,3,1
167.75,168,5102.39,5110.39,3,3
168,168.25,5110.39,5118.41,3,3
168.25,168.5,5118.41,5126.44,3,1
168.5,168.75,5126.44,5134.48,3,0
168.75,169,5134.48,5142.54,3,5
169,169.25,5142.54,5150.61,3,6
169.25,169.5,5150.61,5158.69,3,4
169.5,169.75,5158.69,5166.79,3,16
169.75,170,5166.79,5174.9,3,15
170,170.25,5174.9,5183.02,3,4
170.25,170.5,5183.02,5191.16,3,9
170.5,170.75,5191.16,5199.3,3,1
170.75,171,5199.3,5207.46,3,4
171,171.25,5207.46,5215.63,3,0
171.25,171.5,5215.63,5223.82,3,6
171.5,171.75,5223.82,5232.02,3,0
171.75,172,5232.02,5240.22,3,3
172,172.25,5240.22,5248.44,3,3
172.25,172.5,5248.44,5256.68,3,1
172.5,172.75,5256.68,5264.92,3,0
172.75,173,5264.92,5273.18,3,2
173,173.25,5273.18,5281.44,3,0
173.25,173.5,5281.44,5289.72,3,0
173.5,173.75,5289.72,5298.01,3,1
173.75,174,5298.01,5306.31,3,1
174,174.25,5306.31,5314.63,3,0
174.25,174.5,5314.63,5322.95,3,0
174.5,174.75,5322.95,5331.28,3,1
174.75,175,5331.28,5339.63,3,0
175,175.25,5339.63,5347.98,3,0
175.25,175.5,5347.98,5356.35,3,0
175.5,175.75,5356.35,5364.73,3,0
175.75,176,5364.73,5373.12,3,0
176,176.25,5373.12,5381.51,3,4
176.25,176.5,5381.51,5389.92,3,1
176.5,176.75,5389.92,5398.34,3,0
176.75,177,5398.34,5406.77,3,2
177,177.25,5406.77,5415.21,3,0
177.25,177.5,5415.21,5423.66,3,2
177.5,177.75,5423.66,5432.12,3,3
177.75,178,5432.12,5440.58,3,3
178,178.25,5440.58,5449.06,3,3
178.25,178.5,5449.06,5457.55,3,1
178.5,178.75,5457.55,5466.04,3,1
178.75,179,5466.04,5474.55,3,4
179,179.25,5474.55,5483.06,3,2
179.25,179.5,5483.06,5491.59,3,0
179.5,179.75,5491.59,5500.12,3,0
179.75,180,5500.12,5508.66,3,1
180,180.25,5508.66,5517.21,3,1
180.25,180.5,5517.21,5525.77,3,4
180.5,180.75,5525.77,5534.34,3,0
180.75,181,5534.34,5542.92,3,1
181,181.25,5542.92,5551.5,3,1
181.25,181.5,5551.5,5560.09,3,4
181.5,181.75,5560.09,5568.69,3,2
181.75,182,5568.69,5577.3,3,0
182,182.25,5577.3,5585.92,3,3
182.25,182.5,5585.92,5594.54,3,0
182.5,182.75,5594.54,5603.18,3,1
182.75,183,5603.18,5611.82,3,1
183,183.25,5611.82,5620.47,3,1
183.25,183.5,5620.47,5629.12,3,0
183.5,183.75,5629.12,5637.78,3,2
183.75,184,5637.78,5646.45,3,1
184,184.25,5646.45,5655.13,3,3
184.25,184.5,5655.13,5663.82,3,1
184.5,184.75,5663.82,5672.51,3,2
184.75,185,5672.51,5681.2,3,0
185,185.25,5681.2,5689.91,3,2
185.25,185.5,5689.91,5698.62,3,0
185.5,185.75,5698.62,5707.34,3,0
185.75,186,5707.34,5716.06,3,0
186,186.25,5716.06,5724.8,3,1
186.25,186.5,5724.8,5733.53,3,0
186.5,186.75,5733.53,5742.28,3,2
186.75,187,5742.28,5751.03,3,0
187,187.25,5751.03,5759.78,3,0
187.25,187.5,5759.78,5768.54,3,1
187.5,187.75,5768.54,5777.31,3,1
187.75,188,5777.31,5786.08,3,3
188,188.25,5786.08,5794.86,3,1
188.25,188.5,5794.86,5803.65,3,1
188.5,188.75,5803.65,5812.44,3,1
188.75,189,5812.44,5821.23,3,0
189,189.25,5821.23,5830.03,3,2
189.25,189.5,5830.03,5838.84,3,2
189.5,189.75,5838.84,5847.65,3,2
189.75,190,5847.65,5856.46,3,3
190,190.25,5856.46,5865.28,3,4
190.25,190.5,5865.28,5874.11,3,5
190.5,190.75,5874.11,5882.93,3,4
190.75,191,5882.93,5891.77,3,3
191,191.25,5891.77,5900.61,3,1
191.25,191.5,5900.61,5909.45,3,1
191.5,191.75,5909.45,5918.29,3,1
191.75,192,5918.29,5927.15,3,3
192,192.25,5927.15,5936,3,1
192.25,192.5,5936,5944.86,3,2
192.5,192.75,5944.86,5953.72,3,8
192.75,193,5953.72,5962.59,3,4
193,193.25,5962.59,5971.46,3,0
193.25,193.5,5971.46,5980.33,3,9
193.5,193.75,5980.33,5989.21,3,13
193.75,194,5989.21,5998.09,3,8
194,194.25,5998.09,6006.97,3,7
194.25,194.5,6006.97,6015.86,3,4
194.5,194.75,6015.86,6024.74,3,12
194.75,195,6024.74,6033.64,3,55
195,195.25,6033.64,6042.53,5,142
195.25,195.5,6042.53,6051.43,5,332
195.5,195.75,6051.43,6060.33,5,220
195.75,196,6060.33,6069.23,4.5,209
196,196.25,6069.23,6078.14,5,337
196.25,196.5,6078.14,6087.04,5,178
196.5,196.75,6087.04,6095.95,5,64
196.75,197,6095.95,6104.87,4,5
197,197.25,6104.87,6113.78,5,11
197.25,197.5,6113.78,6122.7,5,2
197.5,197.75,6122.7,6131.61,5,2
197.75,198,6131.61,6140.53,5,3
198,198.25,6140.53,6149.45,5,2
198.25,198.5,6149.45,6158.38,4,2
198.5,198.75,6158.38,6167.3,4.5,2
198.75,199,6167.3,6176.23,5,4
199,199.25,6176.23,6185.15,5,4
199.25,199.5,6185.15,6194.08,4.5,3
199.5,199.75,6194.08,6203.01,5,3
199.75,200,6203.01,6211.94,5,5
200,200.25,6211.94,6220.87,3,1
200.25,200.5,6220.87,6229.8,5,2
200.5,200.75,6229.8,6238.73,5,7
200.75,201,6238.73,6247.66,5,25
201,201.25,6247.66,6256.59,4,11
201.25,201.5,6256.59,6265.53,5,21
201.5,201.75,6265.53,6274.46,4,8
